model_name,organization,source_url,official_website,logo_url,description,downloads,likes,pipeline_tag,library_name,website_verified,logo_verified,verification_source
clip-vit-base-patch32,openai,https://huggingface.co/openai/clip-vit-base-patch32,https://openai.com/,https://openai.com/favicon.ico,"clip-vit-base-patch32 is a zero-shot image classification model trained by openai, capable of accurately categorizing images without being exposed to the specific classes it should recognize during training.",19936700,1104,zero-shot-image-classification,transformers,YES,YES,Known official domain + HTTP verification
bge-reranker-v2-m3,BAAI,https://huggingface.co/BAAI/bge-reranker-v2-m3,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,bge-reranker-v2-m3 is a text-classification model developed by BAAI that leverages sentence-transformers library to enhance the accuracy of document retrieval and ranking in text classification tasks.,17813651,1156,text-classification,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
mobilenetv3_small_100.lamb_in1k,timm,https://huggingface.co/timm/mobilenetv3_small_100.lamb_in1k,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The mobilenetv3_small_100.lamb_in1k model is a pre-trained image classification model from the timm library, designed to classify objects from the ImageNet dataset, using the Lamb optimizer for training.",17428712,103,image-classification,timm,YES,YES,DuckDuckGo search + HTTP verification
nomic-embed-text-v1.5,nomic-ai,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"nomic-embed-text-v1.5 is a sentence similarity model created by nomic-ai, utilizing the sentence-transformers library to process and compare text, enabling precise matching and understanding of the semantic similarity between sentences.",15943256,899,sentence-similarity,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
tiny-Qwen2ForCausalLM-2.5,trl-internal-testing,https://huggingface.co/trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"tiny-Qwen2ForCausalLM-2.5 is a compact AI model designed for text generation tasks, specifically tailored for use with the transformers library, developed by trl-internal-testing.",15306387,21,text-generation,transformers,YES,YES,DuckDuckGo search + HTTP verification
gpt2,openai-community,https://huggingface.co/openai-community/gpt2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The gpt2 model, created by the openai-community, is used for text generation, capable of producing coherent and contextually relevant text based on the input provided.",14071683,3556,text-generation,transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3-8B,Qwen,https://huggingface.co/Qwen/Qwen3-8B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3-8B is a text-generation AI model designed to produce coherent and contextually relevant text, serving various applications including content creation, chatbots, and language translation.",13632574,1337,text-generation,transformers,YES,YES,Known official domain + HTTP verification
Qwen3.6-35B-A3B-FP8,Qwen,https://huggingface.co/Qwen/Qwen3.6-35B-A3B-FP8,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3.6-35B-A3B-FP8 is a specialized AI model designed for generating new text that is semantically consistent with both an input image and a given context, using advanced transformer technology.",13314395,370,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
stable-diffusion-v1-5-archive,Comfy-Org,https://huggingface.co/Comfy-Org/stable-diffusion-v1-5-archive,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The stable-diffusion-v1-5-archive model, created by Comfy-Org, specializes in generating high-resolution images from textual descriptions through a diffusion-based pipeline using a single input file, leveraging the diffusion-single-file library.",13265604,121,,diffusion-single-file,YES,YES,DuckDuckGo search + HTTP verification
bge-large-en-v1.5,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"bge-large-en-v1.5 is a feature extraction AI model developed by BAAI, utilizing the sentence-transformers library, designed to process English text and generate vector representations for further analysis or comparison.",13118409,720,feature-extraction,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
wav2vec2-large-xlsr-53-japanese,jonatasgrosman,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-japanese,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The wav2vec2-large-xlsr-53-japanese model, developed by jonatasgrosman, specializes in automatic speech recognition for Japanese, using the Transformers library.",12884514,63,automatic-speech-recognition,transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3-Coder-30B-A3B-Instruct-GGUF,unsloth,https://huggingface.co/unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF,https://unsloth.ai/,https://unsloth.ai/favicon.ico,"Qwen3-Coder-30B-A3B-Instruct-GGUF is a text-generation AI model specifically designed for creating professional intelligence datasets, capable of generating a wide range of text based on user instructions, tailored to meet specific requirements and standards.",12706054,948,text-generation,transformers,YES,YES,Known official domain + HTTP verification
Qwen3.5-9B,Qwen,https://huggingface.co/Qwen/Qwen3.5-9B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3.5-9B is a specialized AI model designed for generating text that is semantically consistent with given images and textual prompts, utilizing the transformers library.",12621674,1893,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
efficientnet_b3.ra2_in1k,timm,https://huggingface.co/timm/efficientnet_b3.ra2_in1k,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"efficientnet_b3.ra2_in1k is a pre-trained image classification model from the timm library, based on the efficientnet architecture, specifically fine-tuned on the ImageNet dataset for general image classification tasks.",12053138,7,image-classification,timm,YES,YES,DuckDuckGo search + HTTP verification
multilingual-e5-small,intfloat,https://huggingface.co/intfloat/multilingual-e5-small,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The multilingual-e5-small model from intfloat is a sentence similarity AI designed to process and compare sentences across multiple languages, utilizing the sentence-transformers library for its operations.",11947094,395,sentence-similarity,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
Kokoro-82M,hexgrad,https://huggingface.co/hexgrad/Kokoro-82M,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Kokoro-82M is an advanced text-to-speech model developed by hexgrad, designed to convert digital text into lifelike human-sounding speech, optimized for high-quality audio synthesis with an 82 million parameter size.",11459542,6801,text-to-speech,,YES,YES,DuckDuckGo search + HTTP verification
whisperkit-coreml,argmaxinc,https://huggingface.co/argmaxinc/whisperkit-coreml,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The whisperkit-coreml is a specialized AI model designed for automatic speech recognition, utilizing the whisperkit library and optimized for deployment on Apple's Core ML framework.",11227615,205,automatic-speech-recognition,whisperkit,YES,YES,DuckDuckGo search + HTTP verification
bge-base-en-v1.5,BAAI,https://huggingface.co/BAAI/bge-base-en-v1.5,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"bge-base-en-v1.5 is a feature extraction model based on the BAAI dataset, designed for producing sentence embeddings using the sentence-transformers library, enabling semantic comparisons and aggregations in text data.",11191461,469,feature-extraction,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.6-35B-A3B-NVFP4,nvidia,https://huggingface.co/nvidia/Qwen3.6-35B-A3B-NVFP4,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,Qwen3.6-35B-A3B-NVFP4 is a text-generation AI model developed by NVIDIA specifically optimized for generating text using the Model Optimizer framework.,10606938,586,text-generation,Model Optimizer,YES,YES,DuckDuckGo search + HTTP verification
Qwen2.5-7B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen2.5-7B-Instruct is a text-generation AI model specifically designed for generating human-like text based on instruction inputs, using the transformers library, and is part of the Qwen organization. It is a 7 billion parameter model optimized for conversational and writing tasks.",10596345,1573,text-generation,transformers,YES,YES,Known official domain + HTTP verification
opt-125m,facebook,https://huggingface.co/facebook/opt-125m,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"opt-125m is a text-generation AI model designed by Facebook, capable of producing human-like text from a few thousand tokens, making it suitable for applications such as chatbots, content generation, and natural language processing tasks.",9676549,295,text-generation,transformers,YES,YES,DuckDuckGo search + HTTP verification
roberta-base,FacebookAI,https://huggingface.co/FacebookAI/roberta-base,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"roberta-base is a pre-trained language model by FacebookAI designed for masked language modeling, a task where the model predicts the masked words in a sentence, using the transformers library.",9585589,640,fill-mask,transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3-VL-8B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen3-VL-8B-Instruct,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3-VL-8B-Instruct is a specialized AI model designed for generating text from a given image and textual prompt, utilizing the transformers library, specifically tailored for the image-text-to-text pipeline task.",9584763,1079,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
adetailer,Bingsu,https://huggingface.co/Bingsu/adetailer,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"adetailer is a specialized model developed by Bingsu to perform ultralytics tasks, optimized for enhancing and tailoring detailed image data.",9480158,763,,ultralytics,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.8-27B-GGUF,unsloth,https://huggingface.co/unsloth/Qwen3.8-27B-GGUF,https://unsloth.ai/,https://unsloth.ai/favicon.ico,"Qwen3.8-27B-GGUF is a large-scale AI language model developed by unsloth, designed for advanced natural language processing tasks including text generation, question-answering, and content summarization.",9354057,3405,,,YES,YES,Known official domain + HTTP verification
paraphrase-multilingual-mpnet-base-v2,sentence-transformers,https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Paraphrase-multilingual-mpnet-base-v2 is a sentence-transformers model specifically designed for multilingual sentence similarity, capable of understanding and comparing the meaning of sentences across various languages using the MPNet base-v2 architecture.",9341036,493,sentence-similarity,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
speaker-diarization-3.1,pyannote,https://huggingface.co/pyannote/speaker-diarization-3.1,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"speaker-diarization-3.1 is a specialized AI model developed by pyannote for automatic speech recognition, specifically designed to identify and separate speakers in audio recordings, utilizing the pyannote-audio library and framework.",9260640,3324,automatic-speech-recognition,pyannote-audio,YES,YES,DuckDuckGo search + HTTP verification
clap-htsat-fused,laion,https://huggingface.co/laion/clap-htsat-fused,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"clap-htsat-fused is a specialized AI model designed for audio classification tasks, utilizing Hugging Face's transformers library and trained on the Laion dataset to process and categorize audio signals effectively.",8815569,127,audio-classification,transformers,YES,YES,DuckDuckGo search + HTTP verification
gemma-4-31B-it,google,https://huggingface.co/google/gemma-4-31B-it,https://www.google.com/,https://www.google.com/favicon.ico,"gemma-4-31B-it is a specialized AI model developed by Google for the task of generating text that corresponds to a given image and a seed text prompt, using the transformers library. It is trained on a large dataset to produce coherent text that aligns with the visual input and initial text direction.",8282072,3705,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
gemma-4-26B-A4B-it,google,https://huggingface.co/google/gemma-4-26B-A4B-it,https://www.google.com/,https://www.google.com/favicon.ico,"gemma-4-26B-A4B-it is a specialized AI model designed for generating text that corresponds to both an image and a given prompt, utilizing the transformers library, and operating within the image-text-to-text pipeline, with a total of 426 billion parameters.",8189743,1471,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
Qwen3.6-27B-FP8,Qwen,https://huggingface.co/Qwen/Qwen3.6-27B-FP8,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3.6-27B-FP8 is a specialized AI model designed for generating coherent and contextually appropriate text from images and captions, leveraging the transformers library.",8157861,352,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
Qwen2.5-VL-7B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2.5-VL-7B-Instruct,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen2.5-VL-7B-Instruct is a specialized language model designed for generating text that describes images, crafted with a 7B parameter size for efficient performance in image-text-to-text tasks, leveraging the transformers library.",7853220,1694,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
contriever,facebook,https://huggingface.co/facebook/contriever,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"contriever is a language model developed by Facebook AI Research designed to generate coherent and contextually appropriate responses, making it useful for various applications including question-answering, dialogue systems, and content generation tasks.",7738631,97,,transformers,YES,YES,DuckDuckGo search + HTTP verification
XTTS-v2,coqui,https://huggingface.co/coqui/XTTS-v2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"XTTS-v2 is a text-to-speech model developed by coqui, designed to convert text input into natural-sounding speech, enhancing accessibility and personalization in various applications.",7587665,3761,text-to-speech,coqui,YES,YES,DuckDuckGo search + HTTP verification
Qwen2.5-3B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2.5-3B-Instruct,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen2.5-3B-Instruct is a text-generation AI model specifically designed for creating coherent and contextually appropriate text, based on the instruction provided, utilizing the transformers library and optimized to a 2.5 billion parameter size.",7578082,558,text-generation,transformers,YES,YES,Known official domain + HTTP verification
Qwen2.5-1.5B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen2.5-1.5B-Instruct is a text-generation model based on the Qwen architecture, offering a 1.5 billion parameter size, designed for applications requiring precise and coherent text responses across a wide range of domains.",7516055,815,text-generation,transformers,YES,YES,Known official domain + HTTP verification
Qwen3.5-4B,Qwen,https://huggingface.co/Qwen/Qwen3.5-4B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3.5-4B is a specialized AI model designed for generating text that precisely matches the visual content of images, with a focus on text-to-text tasks, using the transformers library.",7443149,875,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
chronos-bolt-small,amazon,https://huggingface.co/amazon/chronos-bolt-small,https://www.amazon.com/,https://www.amazon.com/favicon.ico,"chronos-bolt-small is a small-scale AI model designed for time-series forecasting tasks, leveraging the chronos-forecasting library, specifically tailored for use by Amazon.",7286375,21,time-series-forecasting,chronos-forecasting,YES,YES,Known official domain + HTTP verification
z_image_turbo,Comfy-Org,https://huggingface.co/Comfy-Org/z_image_turbo,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"z_image_turbo is a diffusion single-file pipeline model used for generating high-fidelity image outputs from a single input image, optimized for speed and quality in AI image synthesis tasks.",7118193,859,,diffusion-single-file,YES,YES,DuckDuckGo search + HTTP verification
unidepth-v2-vitl14,lpiccinelli,https://huggingface.co/lpiccinelli/unidepth-v2-vitl14,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"unidepth-v2-vitl14 is a specialized AI model developed by lpiccinelli for depth estimation tasks, utilizing the UniDepth library and pipeline, capable of processing high-resolution images with state-of-the-art accuracy.",7109244,50,,UniDepth,YES,YES,DuckDuckGo search + HTTP verification
whisper-large-v3-turbo,openai,https://huggingface.co/openai/whisper-large-v3-turbo,https://openai.com/,https://openai.com/favicon.ico,"whisper-large-v3-turbo is a highly advanced automatic speech recognition model from openai specifically designed for precise transcription of audio files, offering superior performance and accuracy in the transformers library.",6996267,3283,automatic-speech-recognition,transformers,YES,YES,Known official domain + HTTP verification
multilingual-e5-large,intfloat,https://huggingface.co/intfloat/multilingual-e5-large,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"multilingual-e5-large is a large-scale AI model designed for feature extraction tasks, specifically utilizing the sentence-transformers library for multilingual text analysis and comparison. Developed by intfloat, it is optimized for processing and understanding a wide range of languages, enabling sophisticated feature extraction from text data.",6953891,1245,feature-extraction,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3-Embedding-0.6B,Qwen,https://huggingface.co/Qwen/Qwen3-Embedding-0.6B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3-Embedding-0.6B is a specialized AI model designed for feature extraction, utilizing sentence-transformers library to generate dense vector embeddings from text inputs, enabling efficient semantic analysis and comparison in various applications.",6778015,1176,feature-extraction,sentence-transformers,YES,YES,Known official domain + HTTP verification
OTel-2.0-LLM-31B-IT,farbodtavakkoli,https://huggingface.co/farbodtavakkoli/OTel-2.0-LLM-31B-IT,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"OTel-2.0-LLM-31B-IT is a text-generation AI model specifically designed for IT-related content creation, crafted by farbodtavakkoli and built with the transformers library.",6777482,14,text-generation,transformers,YES,YES,DuckDuckGo search + HTTP verification
distilbert-base-uncased,distilbert,https://huggingface.co/distilbert/distilbert-base-uncased,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"distilbert-base-uncased is a distilled version of Bert using the transformers library, designed for fill-mask tasks, enabling precise text modification and understanding.",6761868,1053,fill-mask,transformers,YES,YES,DuckDuckGo search + HTTP verification
clip-vit-large-patch14,openai,https://huggingface.co/openai/clip-vit-large-patch14,https://openai.com/,https://openai.com/favicon.ico,"clip-vit-large-patch14 is a pre-trained model in the transformers library used for zero-shot image classification, based on the Vision Transformer architecture with a large patch size, suitable for datasets requiring high-resolution input images.",6723984,2073,zero-shot-image-classification,transformers,YES,YES,Known official domain + HTTP verification
multilingual-e5-base,intfloat,https://huggingface.co/intfloat/multilingual-e5-base,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"multilingual-e5-base is a sentence similarity model created by intfloat, utilizing the sentence-transformers library, designed to compare and quantify the semantic similarity between sentences across multiple languages.",6619886,383,sentence-similarity,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
roberta-large,FacebookAI,https://huggingface.co/FacebookAI/roberta-large,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"The roberta-large model, developed by FacebookAI, is specifically designed for the task of filling masked tokens in text using the transformers library, offering high accuracy and extensive vocabulary support through its large-scale training.",6546673,319,fill-mask,transformers,YES,YES,DuckDuckGo search + HTTP verification
chronos-2,autogluon,https://huggingface.co/autogluon/chronos-2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"chronos-2 is a time-series forecasting model developed by autogluon specifically designed for accurate predictions in the chronos-forecasting library, enabling it to analyze and forecast trends in sequential data effectively.",6521639,48,time-series-forecasting,chronos-forecasting,YES,YES,DuckDuckGo search + HTTP verification
gpt-oss-20b,openai,https://huggingface.co/openai/gpt-oss-20b,https://openai.com/,https://openai.com/favicon.ico,"gpt-oss-20b is a text-generation AI model with 20 billion parameters, developed by openai specifically for generating human-like text in various applications such as natural language processing and language understanding.",6519052,4983,text-generation,transformers,YES,YES,Known official domain + HTTP verification
Qwen3-4B,Qwen,https://huggingface.co/Qwen/Qwen3-4B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3-4B is a text-generation AI model designed to produce human-like text based on various prompts, suitable for applications such as content creation, chatbots, and natural language processing tasks.",6433015,689,text-generation,transformers,YES,YES,Known official domain + HTTP verification
Llama-3.2-1B-Instruct,meta-llama,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Llama-3.2-1B-Instruct is a specialized language model developed by meta-llama for generating text, designed to be used with the transformers library, specifically for instruction-following text generation tasks.",6417690,1600,text-generation,transformers,YES,YES,DuckDuckGo search + HTTP verification
chronos-bolt-small,autogluon,https://huggingface.co/autogluon/chronos-bolt-small,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"chronos-bolt-small is a small-scale AI model designed for time-series forecasting, specifically developed by autogluon, capable of analyzing sequential data to predict future values with high accuracy.",6287959,61,time-series-forecasting,,YES,YES,DuckDuckGo search + HTTP verification
ms-marco-MiniLM-L4-v2,cross-encoder,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L4-v2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"ms-marco-MiniLM-L4-v2 is a text-ranking model created by cross-encoder, using the sentence-transformers library, designed to process and rank text data efficiently.",6182832,28,text-ranking,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
wespeaker-voxceleb-resnet34-LM,pyannote,https://huggingface.co/pyannote/wespeaker-voxceleb-resnet34-LM,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"wespeaker-voxceleb-resnet34-LM is a specialized AI model developed by pyannote for speaker diarization, utilizing the VoxCeleb dataset and a ResNet-34 base model with a pre-trained Language Model (LM) for improved speech recognition and segmentation capabilities.",6174170,163,,pyannote-audio,YES,YES,DuckDuckGo search + HTTP verification
Qwen2.5-0.5B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen2.5-0.5B-Instruct is a specialized text-generation AI model, derived from the Qwen family, offering a compact yet powerful configuration optimized for instruction-following tasks, leveraging the transformers library for efficient processing and deployment.",5913274,610,text-generation,transformers,YES,YES,Known official domain + HTTP verification
granite-embedding-small-english-r2,ibm-granite,https://huggingface.co/ibm-granite/granite-embedding-small-english-r2,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"granite-embedding-small-english-r2 is a feature extraction model using the sentence-transformers library, specifically designed to generate compact embeddings for English sentences, useful for tasks such as document indexing and retrieval.",5902616,78,feature-extraction,sentence-transformers,YES,YES,DuckDuckGo search + HTTP verification
segmentation-3.0,pyannote,https://huggingface.co/pyannote/segmentation-3.0,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"segmentation-3.0 is a voice activity detection model developed by pyannote using the pyannote-audio library, designed to accurately identify and segment periods of speech from audio recordings.",5794665,1639,voice-activity-detection,pyannote-audio,YES,YES,DuckDuckGo search + HTTP verification
Llama-3.1-8B-Instruct,meta-llama,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"Llama-3.1-8B-Instruct is a text-generation AI model developed by meta-llama, specifically designed for training purposes and deploying in instruction-following applications where users need to generate text that adheres closely to a given prompt.",5792238,6759,text-generation,transformers,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.6-27B,Qwen,https://huggingface.co/Qwen/Qwen3.6-27B,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3.6-27B is a specialized AI model designed for generating text from image and text inputs, using the transformers library, optimized for 27 billion parameters to enhance its understanding and generation capabilities in image-text-to-text tasks.",5619828,2286,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
MiniMax-H3,MiniMaxAI,https://huggingface.co/MiniMaxAI/MiniMax-H3,https://duckduckgo.com/,https://duckduckgo.com/favicon.ico,"MiniMax-H3 is a specialized AI model designed for generating videos from images and text inputs, used by MiniMaxAI for applications requiring multimodal synthesis.",5532597,4823,image-text-to-video,minimax-h3,YES,YES,DuckDuckGo search + HTTP verification
Qwen3.8-27B-FP8,Qwen,https://huggingface.co/Qwen/Qwen3.8-27B-FP8,https://qwen.ai/,https://qwen.ai/favicon.ico,"Qwen3.8-27B-FP8 is a specialized AI model designed for generating text that corresponds to both images and textual prompts, utilizing the transformers library, and operating within the image-text-to-text pipeline task.",5528743,752,image-text-to-text,transformers,YES,YES,Known official domain + HTTP verification
