model_name,organization,source_url,official_website,logo_url,description,downloads,likes,pipeline_tag,library_name
gpt2,openai-community,https://huggingface.co/openai-community/gpt2,https://huggingface.co/openai-community/gpt2,https://huggingface.co/api/organizations/openai-community/avatar,Test the whole generation capabilities here: https://transformer.huggingface.co/doc/gpt2-large,14071683,3556,text-generation,transformers
Qwen3-8B,Qwen,https://huggingface.co/Qwen/Qwen3-8B,https://huggingface.co/Qwen/Qwen3-8B,https://huggingface.co/api/organizations/Qwen/avatar,"<a href=""https://chat.qwen.ai/"" target=""_blank"" style=""margin: 2px;""> <img alt=""Chat"" src=""https://img.shields.io/badge/%F0%9F%92%9C%EF%B8%8F%20Qwen%20Chat%20-536af5"" style=""display: inline-block; vertical-align: middle;""/> </a>",13632574,1337,text-generation,transformers
Qwen3.6-35B-A3B-FP8,Qwen,https://huggingface.co/Qwen/Qwen3.6-35B-A3B-FP8,https://huggingface.co/Qwen/Qwen3.6-35B-A3B-FP8,https://huggingface.co/api/organizations/Qwen/avatar,"<img width=""400px"" src=""https://qianwen-res.oss-accelerate.aliyuncs.com/Qwen3.6/logo.png"">",13314395,370,image-text-to-text,transformers
stable-diffusion-v1-5-archive,Comfy-Org,https://huggingface.co/Comfy-Org/stable-diffusion-v1-5-archive,https://huggingface.co/Comfy-Org/stable-diffusion-v1-5-archive,https://huggingface.co/api/organizations/Comfy-Org/avatar,Repackaged model files for ComfyUI.,13265604,121,,diffusion-single-file
bge-large-en-v1.5,BAAI,https://huggingface.co/BAAI/bge-large-en-v1.5,https://huggingface.co/BAAI/bge-large-en-v1.5,https://huggingface.co/api/organizations/BAAI/avatar,"<h1 align=""center"">FlagEmbedding</h1>",13118409,720,feature-extraction,sentence-transformers
wav2vec2-large-xlsr-53-japanese,jonatasgrosman,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-japanese,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-japanese,https://huggingface.co/api/organizations/jonatasgrosman/avatar,"Fine-tuned [facebook/wav2vec2-large-xlsr-53](https://huggingface.co/facebook/wav2vec2-large-xlsr-53) on Japanese using the train and validation splits of [Common Voice 6.1](https://huggingface.co/datasets/common_voice), [CSS10](https://github.com/Kyubyong/css10) and [JSUT](https://sites.google.com/site/shinnosuketakamichi/publication/jsut). When using this model, make sure that your speech input is sampled at 16kHz.",12884514,63,automatic-speech-recognition,transformers
Qwen3-Coder-30B-A3B-Instruct-GGUF,unsloth,https://huggingface.co/unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF,https://huggingface.co/unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF,https://huggingface.co/api/organizations/unsloth/avatar,"<div> <p style=""margin-bottom: 0; margin-top: 0;""> <strong>See <a href=""https://huggingface.co/collections/unsloth/qwen3-680edabfb790c8c34a242f95"">our collection</a> for all versions of Qwen3 including GGUF, 4-bit & 16-bit formats.</strong> </p> <p style=""margin-bottom: 0;""> <em>Learn to run Qwen3-Coder correctly - <a href=""https://docs.unsloth.ai/basics/qwen3-coder"">Read our Guide</a>.</em> </p> <p style=""margin-top: 0;margin-bottom: 0;""> <em>See <a href=""https://docs.unsloth.ai/basics/unsloth-",12706054,948,text-generation,transformers
Qwen3.5-9B,Qwen,https://huggingface.co/Qwen/Qwen3.5-9B,https://huggingface.co/Qwen/Qwen3.5-9B,https://huggingface.co/api/organizations/Qwen/avatar,"<img width=""400px"" src=""https://qianwen-res.oss-accelerate.aliyuncs.com/logo_qwen3.5.png"">",12621674,1893,image-text-to-text,transformers
efficientnet_b3.ra2_in1k,timm,https://huggingface.co/timm/efficientnet_b3.ra2_in1k,https://huggingface.co/timm/efficientnet_b3.ra2_in1k,https://huggingface.co/api/organizations/timm/avatar,A EfficientNet image classification model. Trained on ImageNet-1k in `timm` using recipe template described below.,12053138,7,image-classification,timm
multilingual-e5-small,intfloat,https://huggingface.co/intfloat/multilingual-e5-small,https://huggingface.co/intfloat/multilingual-e5-small,https://huggingface.co/api/organizations/intfloat/avatar,"[Multilingual E5 Text Embeddings: A Technical Report](https://arxiv.org/pdf/2402.05672). Liang Wang, Nan Yang, Xiaolong Huang, Linjun Yang, Rangan Majumder, Furu Wei, arXiv 2024",11947094,395,sentence-similarity,sentence-transformers
Kokoro-82M,hexgrad,https://huggingface.co/hexgrad/Kokoro-82M,https://huggingface.co/hexgrad/Kokoro-82M,https://huggingface.co/api/organizations/hexgrad/avatar,"**Kokoro** is an open-weight TTS model with 82 million parameters. Despite its lightweight architecture, it delivers comparable quality to larger models while being significantly faster and more cost-efficient. With Apache-licensed weights, Kokoro can be deployed anywhere from production environments to personal projects.",11459542,6801,text-to-speech,
whisperkit-coreml,argmaxinc,https://huggingface.co/argmaxinc/whisperkit-coreml,https://huggingface.co/argmaxinc/whisperkit-coreml,https://huggingface.co/api/organizations/argmaxinc/avatar,"WhisperKit is part of Argmax OSS, an On-device Speech AI SDK for Apple Silicon: https://github.com/argmaxinc/argmax-oss-swift",11227615,205,automatic-speech-recognition,whisperkit
bge-base-en-v1.5,BAAI,https://huggingface.co/BAAI/bge-base-en-v1.5,https://huggingface.co/BAAI/bge-base-en-v1.5,https://huggingface.co/api/organizations/BAAI/avatar,"<h1 align=""center"">FlagEmbedding</h1>",11191461,469,feature-extraction,sentence-transformers
Qwen3.6-35B-A3B-NVFP4,nvidia,https://huggingface.co/nvidia/Qwen3.6-35B-A3B-NVFP4,https://huggingface.co/nvidia/Qwen3.6-35B-A3B-NVFP4,https://huggingface.co/api/organizations/nvidia/avatar,"The NVIDIA Qwen3.6-35B-A3B-NVFP4 model is the quantized version of Alibaba's Qwen3.6-35B-A3B model, which is an auto-regressive language model that uses an optimized transformer architecture. For more information, please check [here](https://huggingface.co/Qwen/Qwen3.6-35B-A3B). The NVIDIA Qwen3.6-35B-A3B-NVFP4 model is quantized with [Model Optimizer](https://github.com/NVIDIA/Model-Optimizer).",10606938,586,text-generation,Model Optimizer
Qwen2.5-7B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,https://huggingface.co/api/organizations/Qwen/avatar,"<a href=""https://chat.qwenlm.ai/"" target=""_blank"" style=""margin: 2px;""> <img alt=""Chat"" src=""https://img.shields.io/badge/%F0%9F%92%9C%EF%B8%8F%20Qwen%20Chat%20-536af5"" style=""display: inline-block; vertical-align: middle;""/> </a>",10596345,1573,text-generation,transformers
opt-125m,facebook,https://huggingface.co/facebook/opt-125m,https://huggingface.co/facebook/opt-125m,https://huggingface.co/api/organizations/facebook/avatar,OPT was first introduced in [Open Pre-trained Transformer Language Models](https://arxiv.org/abs/2205.01068) and first released in [metaseq's repository](https://github.com/facebookresearch/metaseq) on May 3rd 2022 by Meta AI.,9676549,295,text-generation,transformers
roberta-base,FacebookAI,https://huggingface.co/FacebookAI/roberta-base,https://huggingface.co/FacebookAI/roberta-base,https://huggingface.co/api/organizations/FacebookAI/avatar,Pretrained model on English language using a masked language modeling (MLM) objective. It was introduced in [this paper](https://arxiv.org/abs/1907.11692) and first released in [this repository](https://github.com/pytorch/fairseq/tree/master/examples/roberta). This model is case-sensitive: it makes a difference between english and English.,9585589,640,fill-mask,transformers
Qwen3-VL-8B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen3-VL-8B-Instruct,https://huggingface.co/Qwen/Qwen3-VL-8B-Instruct,https://huggingface.co/api/organizations/Qwen/avatar,"<a href=""https://chat.qwenlm.ai/"" target=""_blank"" style=""margin: 2px;""> <img alt=""Chat"" src=""https://img.shields.io/badge/%F0%9F%92%9C%EF%B8%8F%20Qwen%20Chat%20-536af5"" style=""display: inline-block; vertical-align: middle;""/> </a>",9584763,1079,image-text-to-text,transformers
adetailer,Bingsu,https://huggingface.co/Bingsu/adetailer,https://huggingface.co/Bingsu/adetailer,https://huggingface.co/api/organizations/Bingsu/avatar,- [Anime Face CreateML](https://universe.roboflow.com/my-workspace-mph8o/anime-face-createml) - [xml2txt](https://universe.roboflow.com/0oooooo0/xml2txt-njqx1) - [AN](https://universe.roboflow.com/sed-b8vkf/an-lfg5i) - [wider face](http://shuoyang1213.me/WIDERFACE/index.html),9480158,763,,ultralytics
Qwen3.8-27B-GGUF,unsloth,https://huggingface.co/unsloth/Qwen3.8-27B-GGUF,https://huggingface.co/unsloth/Qwen3.8-27B-GGUF,https://huggingface.co/api/organizations/unsloth/avatar,"<div> <p style=""margin: 0 0 0px 0; margin-top: 0px;""> <em><a href=""https://unsloth.ai/docs/basics/dynamic-3.0-ggufs"">Unsloth Dynamic 3.0</a> achieves superior accuracy & outperforms other leading quants.</em> </p> <div style=""display: flex; gap: 5px; align-items: center; margin-bottom: 0px;""> <a href=""https://github.com/unslothai/unsloth/""> <img src=""https://github.com/unslothai/unsloth/raw/main/images/unsloth%20new%20logo.png"" width=""133""> </a> <a href=""https://discord.gg/unsloth""> <img src=""ht",9354057,3405,,
paraphrase-multilingual-mpnet-base-v2,sentence-transformers,https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2,https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2,https://huggingface.co/api/organizations/sentence-transformers/avatar,This is a [sentence-transformers](https://www.SBERT.net) model: It maps sentences & paragraphs to a 768 dimensional dense vector space and can be used for tasks like clustering or semantic search.,9341036,493,sentence-similarity,sentence-transformers
speaker-diarization-3.1,pyannote,https://huggingface.co/pyannote/speaker-diarization-3.1,https://huggingface.co/pyannote/speaker-diarization-3.1,https://huggingface.co/api/organizations/pyannote/avatar,speaker-diarization-3.1 is an AI model published by pyannote and hosted on Hugging Face.,9260640,3324,automatic-speech-recognition,pyannote-audio
clap-htsat-fused,laion,https://huggingface.co/laion/clap-htsat-fused,https://huggingface.co/laion/clap-htsat-fused,https://huggingface.co/api/organizations/laion/avatar,Model card for CLAP: Contrastive Language-Audio Pretraining,8815569,127,audio-classification,transformers
gemma-4-31B-it,google,https://huggingface.co/google/gemma-4-31B-it,https://huggingface.co/google/gemma-4-31B-it,https://huggingface.co/api/organizations/google/avatar,"<div align=""center""> <img src=https://ai.google.dev/gemma/images/gemma4_banner.png> </div>",8282072,3705,image-text-to-text,transformers
gemma-4-26B-A4B-it,google,https://huggingface.co/google/gemma-4-26B-A4B-it,https://huggingface.co/google/gemma-4-26B-A4B-it,https://huggingface.co/api/organizations/google/avatar,"<div align=""center""> <img src=https://ai.google.dev/gemma/images/gemma4_banner.png> </div>",8189743,1471,image-text-to-text,transformers
Qwen3.6-27B-FP8,Qwen,https://huggingface.co/Qwen/Qwen3.6-27B-FP8,https://huggingface.co/Qwen/Qwen3.6-27B-FP8,https://huggingface.co/api/organizations/Qwen/avatar,"<img width=""400px"" src=""https://qianwen-res.oss-accelerate.aliyuncs.com/Qwen3.6/logo.png"">",8157861,352,image-text-to-text,transformers
Qwen2.5-VL-7B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2.5-VL-7B-Instruct,https://huggingface.co/Qwen/Qwen2.5-VL-7B-Instruct,https://huggingface.co/api/organizations/Qwen/avatar,"<a href=""https://chat.qwenlm.ai/"" target=""_blank"" style=""margin: 2px;""> <img alt=""Chat"" src=""https://img.shields.io/badge/%F0%9F%92%9C%EF%B8%8F%20Qwen%20Chat%20-536af5"" style=""display: inline-block; vertical-align: middle;""/> </a>",7853220,1694,image-text-to-text,transformers
contriever,facebook,https://huggingface.co/facebook/contriever,https://huggingface.co/facebook/contriever,https://huggingface.co/api/organizations/facebook/avatar,This model has been trained without supervision following the approach described in [Towards Unsupervised Dense Information Retrieval with Contrastive Learning](https://arxiv.org/abs/2112.09118). The associated GitHub repository is available here https://github.com/facebookresearch/contriever.,7738631,97,,transformers
XTTS-v2,coqui,https://huggingface.co/coqui/XTTS-v2,https://huggingface.co/coqui/XTTS-v2,https://huggingface.co/api/organizations/coqui/avatar,ⓍTTS is a Voice generation model that lets you clone voices into different languages by using just a quick 6-second audio clip. There is no need for an excessive amount of training data that spans countless hours.,7587665,3761,text-to-speech,coqui
Qwen2.5-3B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2.5-3B-Instruct,https://huggingface.co/Qwen/Qwen2.5-3B-Instruct,https://huggingface.co/api/organizations/Qwen/avatar,"Qwen2.5 is the latest series of Qwen large language models. For Qwen2.5, we release a number of base language models and instruction-tuned language models ranging from 0.5 to 72 billion parameters. Qwen2.5 brings the following improvements upon Qwen2:",7578082,558,text-generation,transformers
Qwen2.5-1.5B-Instruct,Qwen,https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct,https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct,https://huggingface.co/api/organizations/Qwen/avatar,"Qwen2.5 is the latest series of Qwen large language models. For Qwen2.5, we release a number of base language models and instruction-tuned language models ranging from 0.5 to 72 billion parameters. Qwen2.5 brings the following improvements upon Qwen2:",7516055,815,text-generation,transformers
Qwen3.5-4B,Qwen,https://huggingface.co/Qwen/Qwen3.5-4B,https://huggingface.co/Qwen/Qwen3.5-4B,https://huggingface.co/api/organizations/Qwen/avatar,"<img width=""400px"" src=""https://qianwen-res.oss-accelerate.aliyuncs.com/logo_qwen3.5.png"">",7443149,875,image-text-to-text,transformers
chronos-bolt-small,amazon,https://huggingface.co/amazon/chronos-bolt-small,https://huggingface.co/amazon/chronos-bolt-small,https://huggingface.co/api/organizations/amazon/avatar,"🚀 **Update Feb 14, 2025**: Chronos-Bolt models are now available on Amazon SageMaker JumpStart! Check out the [tutorial notebook](https://github.com/amazon-science/chronos-forecasting/blob/main/notebooks/deploy-chronos-to-amazon-sagemaker.ipynb) to learn how to deploy Chronos endpoints for production use in a few lines of code.",7286375,21,time-series-forecasting,chronos-forecasting
z_image_turbo,Comfy-Org,https://huggingface.co/Comfy-Org/z_image_turbo,https://huggingface.co/Comfy-Org/z_image_turbo,https://huggingface.co/api/organizations/Comfy-Org/avatar,Repackaged model files for ComfyUI.,7118193,859,,diffusion-single-file
unidepth-v2-vitl14,lpiccinelli,https://huggingface.co/lpiccinelli/unidepth-v2-vitl14,https://huggingface.co/lpiccinelli/unidepth-v2-vitl14,https://huggingface.co/api/organizations/lpiccinelli/avatar,This model has been pushed to the Hub using the [PytorchModelHubMixin](https://huggingface.co/docs/huggingface_hub/package_reference/mixins#huggingface_hub.PyTorchModelHubMixin) integration: - Library: https://github.com/lpiccinelli-eth/UniDepth - Docs: [More Information Needed],7109244,50,,UniDepth
whisper-large-v3-turbo,openai,https://huggingface.co/openai/whisper-large-v3-turbo,https://huggingface.co/openai/whisper-large-v3-turbo,https://huggingface.co/api/organizations/openai/avatar,"Whisper is a state-of-the-art model for automatic speech recognition (ASR) and speech translation, proposed in the paper [Robust Speech Recognition via Large-Scale Weak Supervision](https://huggingface.co/papers/2212.04356) by Alec Radford et al. from OpenAI. Trained on >5M hours of labeled data, Whisper demonstrates a strong ability to generalise to many datasets and domains in a zero-shot setting.",6996267,3283,automatic-speech-recognition,transformers
multilingual-e5-large,intfloat,https://huggingface.co/intfloat/multilingual-e5-large,https://huggingface.co/intfloat/multilingual-e5-large,https://huggingface.co/api/organizations/intfloat/avatar,"[Multilingual E5 Text Embeddings: A Technical Report](https://arxiv.org/pdf/2402.05672). Liang Wang, Nan Yang, Xiaolong Huang, Linjun Yang, Rangan Majumder, Furu Wei, arXiv 2024",6953891,1245,feature-extraction,sentence-transformers
Qwen3-Embedding-0.6B,Qwen,https://huggingface.co/Qwen/Qwen3-Embedding-0.6B,https://huggingface.co/Qwen/Qwen3-Embedding-0.6B,https://huggingface.co/api/organizations/Qwen/avatar,"<p align=""center""> <img src=""https://qianwen-res.oss-accelerate-overseas.aliyuncs.com/logo_qwen3.png"" width=""400""/> <p>",6778015,1176,feature-extraction,sentence-transformers
OTel-2.0-LLM-31B-IT,farbodtavakkoli,https://huggingface.co/farbodtavakkoli/OTel-2.0-LLM-31B-IT,https://huggingface.co/farbodtavakkoli/OTel-2.0-LLM-31B-IT,https://huggingface.co/api/organizations/farbodtavakkoli/avatar,"> **Checkpoint update notice:** The current checkpoint is expected to be updated within the next few hours. After that initial refresh, OTel 2.0 checkpoints are expected to continue receiving weekly weight updates. For reproducible evaluation or production deployment, pin a specific model revision, checkpoint hash, or release tag.",6777482,14,text-generation,transformers
distilbert-base-uncased,distilbert,https://huggingface.co/distilbert/distilbert-base-uncased,https://huggingface.co/distilbert/distilbert-base-uncased,https://huggingface.co/api/organizations/distilbert/avatar,This model is a distilled version of the [BERT base model](https://huggingface.co/bert-base-uncased). It was introduced in [this paper](https://arxiv.org/abs/1910.01108). The code for the distillation process can be found [here](https://github.com/huggingface/transformers/tree/main/examples/research_projects/distillation). This model is uncased: it does not make a difference between english and English.,6761868,1053,fill-mask,transformers
clip-vit-large-patch14,openai,https://huggingface.co/openai/clip-vit-large-patch14,https://huggingface.co/openai/clip-vit-large-patch14,https://huggingface.co/api/organizations/openai/avatar,"Disclaimer: The model card is taken and modified from the official CLIP repository, it can be found [here](https://github.com/openai/CLIP/blob/main/model-card.md).",6723984,2073,zero-shot-image-classification,transformers
multilingual-e5-base,intfloat,https://huggingface.co/intfloat/multilingual-e5-base,https://huggingface.co/intfloat/multilingual-e5-base,https://huggingface.co/api/organizations/intfloat/avatar,"[Multilingual E5 Text Embeddings: A Technical Report](https://arxiv.org/pdf/2402.05672). Liang Wang, Nan Yang, Xiaolong Huang, Linjun Yang, Rangan Majumder, Furu Wei, arXiv 2024",6619886,383,sentence-similarity,sentence-transformers
roberta-large,FacebookAI,https://huggingface.co/FacebookAI/roberta-large,https://huggingface.co/FacebookAI/roberta-large,https://huggingface.co/api/organizations/FacebookAI/avatar,Pretrained model on English language using a masked language modeling (MLM) objective. It was introduced in [this paper](https://arxiv.org/abs/1907.11692) and first released in [this repository](https://github.com/pytorch/fairseq/tree/master/examples/roberta). This model is case-sensitive: it makes a difference between english and English.,6546673,319,fill-mask,transformers
chronos-2,autogluon,https://huggingface.co/autogluon/chronos-2,https://huggingface.co/autogluon/chronos-2,https://huggingface.co/api/organizations/autogluon/avatar,"**Update Jun 5, 2026:** ☁️ Deploy Chronos-2 on AWS with AutoGluon-Cloud. Real-time, serverless, or batch inference in 3 lines of code — pandas DataFrames in, forecasts out. Check out the [new deployment guide](https://auto.gluon.ai/cloud/stable/tutorials/foundation-model-timeseries.html).",6521639,48,time-series-forecasting,chronos-forecasting
gpt-oss-20b,openai,https://huggingface.co/openai/gpt-oss-20b,https://huggingface.co/openai/gpt-oss-20b,https://huggingface.co/api/organizations/openai/avatar,"<p align=""center""> <img alt=""gpt-oss-20b"" src=""https://raw.githubusercontent.com/openai/gpt-oss/main/docs/gpt-oss-20b.svg""> </p>",6519052,4983,text-generation,transformers
Qwen3-4B,Qwen,https://huggingface.co/Qwen/Qwen3-4B,https://huggingface.co/Qwen/Qwen3-4B,https://huggingface.co/api/organizations/Qwen/avatar,"<a href=""https://chat.qwen.ai/"" target=""_blank"" style=""margin: 2px;""> <img alt=""Chat"" src=""https://img.shields.io/badge/%F0%9F%92%9C%EF%B8%8F%20Qwen%20Chat%20-536af5"" style=""display: inline-block; vertical-align: middle;""/> </a>",6433015,689,text-generation,transformers
Llama-3.2-1B-Instruct,meta-llama,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,https://huggingface.co/api/organizations/meta-llama/avatar,Llama-3.2-1B-Instruct is an AI model published by meta-llama and hosted on Hugging Face.,6417690,1600,text-generation,transformers
chronos-bolt-small,autogluon,https://huggingface.co/autogluon/chronos-bolt-small,https://huggingface.co/autogluon/chronos-bolt-small,https://huggingface.co/api/organizations/autogluon/avatar,"🚀 **Update Feb 14, 2025**: Chronos-Bolt models are now available on Amazon SageMaker JumpStart! Check out the [tutorial notebook](https://github.com/amazon-science/chronos-forecasting/blob/main/notebooks/deploy-chronos-to-amazon-sagemaker.ipynb) to learn how to deploy Chronos endpoints for production use in a few lines of code.",6287959,61,time-series-forecasting,
ms-marco-MiniLM-L4-v2,cross-encoder,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L4-v2,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L4-v2,https://huggingface.co/api/organizations/cross-encoder/avatar,This model was trained on the [MS Marco Passage Ranking](https://github.com/microsoft/MSMARCO-Passage-Ranking) task.,6182832,28,text-ranking,sentence-transformers
